entrezgene;avg(weighted);max
3070;0.967362151662732;1.029904382183474
2805;0.062460233751132;0.3513459843927289
51426;0.306549146631326;0.678930251188169
22987;0.086246157801297;0.1457681363056319
3624;0.32100109395442;0.3319226462027649
64333;0.27443010523658;0.4721154014960641
5204;0.338177364062329;0.5448023936339712
3229;0.0133470972605473;0.041907876433382396
4035;1.4919360818713;3.624320253909179
3228;0.0194391775649293;0.04020438531637875
25895;0.37305815920257;0.9445843538687179
55355;0.629461388888208;0.8846715901880197
29078;0.274621368222873;1.2144075000781056
80776;1.14891490633819;1.5516637211995983
514;0.254834556855846;0.2548345568558462
128611;0.583582166998886;0.583582166998886
1908;0.509669113711692;0.5096691137116924
8675;0.109214810081076;0.10921481008107696
23408;0.164591958298377;0.32004245968550843
1769;0.0157123293358661;0.03820886961008713
89822;0.443143056682799;0.6113419137613941
64430;0.160881852749039;0.30951284208031377
112849;0.297292469596526;0.30951284208031377
25913;0.146231708971743;0.14623170897174356
4698;0.511810981401102;0.5118109814011025
26290;0.196095202325283;0.46631564692916605
27237;0.329850625035433;0.5411810763148001
55860;1.21911628212199;1.5996518829706672
54453;0.185446894509468;0.2000873046591649
57127;0.494029749222167;0.9865243260023151
10763;0.347303691526728;0.4723374387862367
63827;0.436651172848547;0.7159417099415311
57111;0.0967281898864622;0.14574040500855637
60484;0.884632162629803;1.165923240068451
10894;0.560075373716253;1.0515835227673345
272;0.763060867980713;1.0701489154876986
81846;0.175007529874669;0.21402978309753973
51669;0.856325639645667;0.8563256396456672
51124;0.246380173582857;0.3056801213522328
10100;0.394374225390654;0.8735494845785239
7252;0.330783537523439;0.7764884307364656
4803;0.341340155610046;0.5823663230523491
51361;0.459077936961968;0.45907793696196825
1573;0.343441177021925;0.3434411770219259
517;1.45173074136007;1.7790873523374642
269;1.60139843547413;1.9488281112046686
27165;0.0140838174397529;0.0704190871987643
6302;0.269641305056245;0.27005899191045746
9700;0.271314597371681;0.46098664076720636
10956;0.145376904503931;0.1453769045039317
4284;0.0352095435993822;0.0704190871987643
23493;1.05841317030628;1.2134318182401547
84101;0.593462901578808;0.5934629015788085
9568;0.356743896193776;0.35674389619377694
1558;0.79912583673798;0.821295360592882
118663;0.252865211391947;0.7320902760935726
50624;0.0764184480522191;0.10654395907730053
10579;0.028020258595809;0.07196357175159136
51196;0.718669670511385;1.4651909232977014
4704;0.223879929918938;0.31360348100679286
121227;0.215798106065026;0.2186412665042621
83729;0.296773128888651;0.6294872019947522
6636;0.395641934385872;0.3956419343858723
144193;0.118692580315761;0.11869258031576169
6821;0.0765503264595778;0.07655032645957781
6895;0.934165427784669;1.0530150912701708
8608;0.60933805771177;1.1016026034908164
8620;0.343910937747241;0.4020438531637875
7786;0.987091408512275;1.167145488881541
3695;0.20921647399083;0.2544095828818805
51380;0.190483510182359;0.25269676883989806
60314;0.29754320545016;0.5028945172005888
283337;0.190483510182359;0.25269676883989806
145407;0.434669655770216;0.6261495944865393
122830;0.0769520605974777;0.07812074335748884
494470;0.310841530617327;0.3350843068172795
63946;0.0146799449420386;0.04227274466114157
90324;0.823730904512347;1.022205741692788
641649;2.30941352194785;2.564820689085091
63976;0.826061043021898;1.2374678964933663
5546;0.279836717241708;0.3643510125213909
51093;0.483097608898819;0.8591300519298375
79590;0.339848476593822;0.7258548622985445
81875;0.492297559818997;1.056990349288195
1382;0.322794971922006;0.435811232919514
3068;0.242785925580846;0.35233011642939827
79054;0.809252436804349;1.8030269953708284
256006;0.209782199125864;0.4519916041989888
10788;0.217498902476797;0.24294689384271984
689;0.0869995609907187;0.09717875753708793
51256;0.782811908673079;1.2469242837014547
253714;0.204268211413453;0.48576300003124223
221322;0.236902165386208;0.26888753945693794
154214;0.237487727010033;0.31283789064003986
142685;0.292463417943487;0.2924634179434871
79618;0.214081409911416;0.2140814099114168
23245;0.248906378876076;0.4331460272564631
133;0.210060313966914;0.7010556818448895
3688;0.254651328503896;0.2546513285038969
3742;0.0895519719675753;0.12544139240271715
341880;0.155386667867132;0.2363177463529698
57724;0.197291216900175;0.24565607521489277
9050;0.275465485749022;0.327541433619857
498;0.841301162514125;0.9007389424546068
115106;0.606778355967585;0.655082867239714
147339;0.706044308041955;0.7791515920957206
134359;2.34534167230323;2.8320894352390704
2697;0.321782912445085;0.42196255955199735
4956;0.322059141159417;0.32205914115941764
7071;0.322059141159417;0.32205914115941764
51582;0.143137396070852;0.14313739607085227
528;0.0715686980354261;0.07156869803542613
81894;0.189848706182635;0.19519221355151603
3798;0.14958904347153;0.3147436009973761
11030;0.142720939940944;0.14272093994094454
127262;0.0729080778753563;0.11218802358318981
79957;0.324439983986758;0.6651612766208239
11243;0.276021241938561;0.3643510125213909
9673;0.261888833629709;0.798440348528399
4000;0.133893672498212;0.49326216300115755
56893;0.077779702216843;0.1451709724597089
54865;0.895499674624894;1.2387934425727292
149499;0.0626994229039119;0.13859361134083878
1953;0.0858354170397275;0.23394930020015542
127795;0.457921569362567;0.4579215693625678
128240;1.03203895783794;1.4797864890034726
55356;0.178361382066872;0.34224774566244914
128229;0.424277830011092;0.5800213354749332
7203;0.512256720835642;1.1274563725740745
84283;0.443720668817158;1.0161968072179624
6746;0.0629524027741075;0.2903419449194178
2150;0.0869995609907187;0.09717875753708793
57763;0.304498463467515;0.34012565137980777
84135;0.304498463467515;0.34012565137980777
10412;0.405679397438576;0.48589378768543967
84340;0.405679397438576;0.48589378768543967
8645;1.08928804803843;1.366423143037561
221458;0.152835478440348;0.15283547844034853
154865;0.292463417943487;0.2924634179434871
203286;0.177833060036172;0.1778330600361728
51339;0.10784144364864;0.3332587475735952
120935;0.118692580315761;0.11869258031576169
5654;1.14995799711282;1.392408640615314
11318;0.687836774712183;1.1223379669431268
9880;0.847814268967978;1.7412450765623262
6866;0.835068341616785;2.335617334676058
4640;0.783069374457198;1.276913056145706
23306;1.84879854514801;3.0879207068474543
4665;0.809014654324728;1.4163462044881925
6778;4.63161214875178;8.688830924503321
91419;0.124458653773792;0.18791286288826467
79837;0.0772276680577678;0.15737180049868804
4141;0.268759425233535;0.4721154014960641
114785;0.190441961352893;0.3147436009973761
54578;0.405421246904048;1.0583628049115104
125336;0.0949345188939695;0.14892635858545755
83473;0.441098249311;0.6386276278358787
84064;0.536570929966446;0.6599289939713205
29946;0.038946946491535;0.04253220238181305
53916;0.038348226606564;0.040888229667711516
29785;0.387462273888312;0.4678542261999436
558;0.281096335557818;0.30290869259283254
3848;0.212819666692533;0.21281966669253352
84926;0.113405656398962;0.16846451255993203
3489;0.116024898676049;0.16846451255993203
8435;0.116024898676049;0.16846451255993203
136647;0.24004781764127;0.29005480989481325
140625;0.533779997561704;1.0137803008673403
121340;0.345441543156201;0.5632848741500743
3856;0.0113442889734944;0.04211612813998301
121214;2.08930603356767;3.8055362666046384
11016;0.233444685626324;0.2933551350336768
2861;0.182789636214679;0.18278963621467945
442721;0.365579272429358;0.3655792724293589
1084;0.0548365643074413;0.08454548932228315
170591;0.217498902476797;0.24294689384271984
55277;0.228960784681283;0.2289607846812839
10690;0.0968718357485041;0.17640719905837085
79694;0.250913367439056;0.8126382256858367
5916;0.229022437074058;0.29481289697988106
60495;1.06494286506221;1.1618723067541767
64318;1.53112510318997;1.573601910895962
81839;0.050331466335244;0.09490867022731928
3626;0.438282872528644;1.5570782231173719
1649;0.191223874777585;0.3147436009973761
10540;0.194847467793968;0.5903652211679487
79783;0.840098698051781;1.0971657849101124
7025;0.279253769145149;0.3507627506553286
163259;0.027954386390504;0.0970610538420582
159371;0.158294755989152;0.21682197519652086
283377;0.290780312289888;0.46637655226507546
51301;0.406194944897017;0.5490622095482992
374907;1.63461601665922;1.8714169047997744
619373;0.713604699704722;0.7136046997047226
196403;0.042083191678641;0.15737180049868804
9242;0.113127780356269;0.11405601064846994
22864;0.452732263724247;1.5570782231173719
55785;0.118692580315761;0.11869258031576169
6472;0.843986826815094;2.049205672418653
11247;0.771679984011887;1.3259566115650105
84975;0.316970143394271;0.6384590000776006
5069;0.34596903048383;0.7098806865081491
399814;0.182990317217018;0.20745250459612644
128239;0.892434246935661;1.3065387521373801
339766;0.525037982476118;1.1415640425791207
57419;0.806690921774233;0.8609986283446537
246329;0.677225927345296;1.3259566115650105
6667;1.44576468803278;1.9449993722828518
56901;0.842639373364728;2.049205672418653
114792;0.298941470742895;1.145932726748745
375033;0.128313895264438;0.7751262561446763
164118;0.658903542784919;1.073912564912297
1755;0.292784507547229;0.3319240073538023
10123;0.161360920527006;0.4183782492090772
284325;0.283685952582052;0.3402576190545044
391104;0.359080058279228;0.5011591969590719
728780;1.74979733125732;3.833729803795039
64218;0.214325336841929;0.9160583027164356
4666;0.352766743359206;1.0380521487449146
387990;0.342875529539342;0.6577147894206669
284266;0.080029813626905;0.12282803760744639
5094;1.29925327124827;1.686474542531267
1555;0.105789913154169;0.12981801111121394
1572;0.200783096827013;0.21636335185202324
