entrezgene;avg(weighted);max(weighted)
81689;0.261985182540034;0.32368792182601575
9290;0.290670183840977;0.29672005399344725
3357;0.811294711407137;0.8605228208002654
81618;0.218002637880732;0.22254004049508544
80210;0.811361737115302;0.8470939146504516
51719;0.109001318940367;0.11127002024754272
11311;0.0360574262112355;0.03605742621123553
3586;0.182311946565878;0.18231194656587893
87178;0.282834494866686;0.2828344948666867
83729;0.231671952630781;0.2801350677891391
8608;0.387767383247244;0.49035105938370604
84916;0.288239516072961;0.3609950203468788
29949;0.182311946565878;0.18231194656587893
63976;0.608716508407115;0.8722516817734258
5546;0.179165689628069;0.17992843176753318
51093;0.251137062335082;0.3238711771815597
79590;0.179165689628069;0.17992843176753318
81875;0.251137062335082;0.3238711771815597
1382;0.214998827553682;0.2159141181210398
3068;0.179165689628069;0.17992843176753318
58497;0.108172278633706;0.10817227863370658
1893;1.66629015067073;1.6662901506707328
80222;0.685091098013475;0.6850910980134751
9869;0.072114852422471;0.07211485242247107
54507;1.08172278633706;1.081722786337066
4170;0.612976245591004;0.612976245591004
1513;0.649033671802239;0.6490336718022396
81611;0.144229704844942;0.14422970484494213
55793;0.360574262112355;0.3605742621123554
8416;0.216344557267413;0.21634455726741317
29956;0.540861393168533;0.540861393168533
2029;0.288459409689884;0.28845940968988426
405;0.540861393168533;0.540861393168533
84072;0.72114852422471;0.7211485242247104
55204;0.938585730771252;0.9385857307712521
8444;0.291699114505406;0.29169911450540625
1939;0.291699114505406;0.29169911450540625
6233;0.106062935575007;0.10606293557500751
79054;0.43352957945976;0.5770268600171037
51256;0.809408342754585;0.9235100194554633
253714;0.184630058026521;0.4366980695038
414328;0.344348585244928;0.6473758436520315
23245;0.135363988379739;0.17774920917348666
5140;0.176886838376981;0.56474317850595
26175;0.327696236351354;0.3308765098829848
3798;0.110425662303743;0.14006753389456955
93010;0.472339048741588;0.4821700877393518
127262;0.101637249050751;0.1980809799906359
148523;0.180287131056177;0.18028713105617764
79957;0.179165689628069;0.17992843176753318
11243;0.143332551702455;0.14394274541402652
9673;0.143332551702455;0.14394274541402652
4000;0.0716662758512275;0.07197137270701326
56893;0.0358331379256138;0.03598568635350663
54865;0.376629319288677;0.4678139225955863
149499;0.0716662758512275;0.07197137270701326
1953;0.104168539928392;0.1980809799906359
148870;0.0464284747828647;0.049520244997658974
9261;0.291699114505406;0.29169911450540625
50604;0.109387167939527;0.10938716793952735
11009;0.0729247786263515;0.07292477862635156
9214;0.0729247786263515;0.07292477862635156
5284;0.0364623893131757;0.03646238931317578
83953;0.0729247786263515;0.07292477862635156
130162;0.106062935575007;0.10606293557500751
112942;0.318188806725022;0.3181888067250226
23248;0.541954042447661;0.5419540424476613
1520;0.757205950435946;0.7572059504359461
149428;0.360574262112355;0.36057426211235527
79626;0.180287131056177;0.18028713105617764
388695;0.144229704844942;0.14422970484494213
128240;0.60916334473543;0.6117566680096128
128229;0.250831965479296;0.2518998044745464
7203;0.268672260228157;0.2854447159817677
84283;0.250679417051404;0.2854447159817677
80318;1.31050749864764;1.584691522920505
55582;0.67215469502255;1.367768465332021
84267;0.751437776684435;0.9932727813584291
