entrezgene;avg(weighted);max(weighted)
22987;0.145768136305631;0.1457681363056319
64333;0.292726041806565;0.4721154014960641
4035;1.75195854888492;3.624320253909179
25895;0.346128871981483;0.9445843538687179
55355;0.711789848891858;0.8846715901880197
29078;0.273550433880935;1.2144075000781056
23408;0.165696268899917;0.32004245968550843
89822;0.450611132583828;0.4549000123101086
26290;0.232487829935445;0.2508827848054343
27237;0.373067441697203;0.5411810763148001
57127;0.578341090040191;0.9865243260023151
10763;0.427105739055867;0.4723374387862367
63827;0.520498194051668;0.7159417099415311
57111;0.116055557906912;0.14574040500855637
60484;1.0774198699429;1.165923240068451
10894;0.613098287776286;1.0515835227673345
272;0.905454912384196;1.0701489154876986
81846;0.188433012247135;0.21402978309753973
10100;0.566757889036743;0.8735494845785239
7252;0.472752206222037;0.7764884307364656
4803;0.362321842772986;0.5823663230523491
6302;0.269641305056245;0.27005899191045746
1558;0.804755022875286;0.821295360592882
51196;0.74984053833015;1.4651909232977014
4704;0.290609787419307;0.31360348100679286
83729;0.343604287349389;0.6294872019947522
8608;0.667591405055246;1.1016026034908164
63976;0.972273142405447;1.2374678964933663
5546;0.346981887265061;0.3643510125213909
51093;0.586975773602818;0.8591300519298375
79590;0.4148016717019;0.7258548622985445
81875;0.600155866726468;1.056990349288195
1382;0.394779216523685;0.435811232919514
3068;0.301571860360835;0.35233011642939827
79054;0.9739397301821;1.8030269953708284
256006;0.340125651379807;0.34012565137980777
10788;0.242946893842719;0.24294689384271984
689;0.0971787575370879;0.09717875753708793
51256;0.964925738213027;1.2469242837014547
253714;0.204268211413453;0.48576300003124223
23245;0.155907253677005;0.16547335349840303
133;0.236232263282015;0.7010556818448895
3742;0.116243914967723;0.12544139240271715
134359;2.68566748102497;2.685667481024976
3798;0.159082789161046;0.3147436009973761
127262;0.0854478223135011;0.11218802358318981
79957;0.35649485361851;0.41307326634514924
11243;0.331311344662696;0.3643510125213909
9673;0.308917133462405;0.798440348528399
4000;0.163495462020675;0.49326216300115755
56893;0.09010003368309;0.1451709724597089
54865;1.09476144889628;1.2387934425727292
149499;0.0800019617813623;0.13859361134083878
1953;0.0965632726904819;0.23394930020015542
128240;1.2692666390954;1.4797864890034726
55356;0.165115586527942;0.34224774566244914
128229;0.494711714968314;0.5100914175299472
7203;0.584747092157086;1.1274563725740745
84283;0.521416423265373;1.0161968072179624
6746;0.0712422633448236;0.2903419449194178
2150;0.0971787575370879;0.09717875753708793
57763;0.340125651379807;0.34012565137980777
